Temperature,Humidity,Rainfall,pH,N,P,K,Soil,Crop,Fertilizer
26.41,61.3,66.97,6.47,16.0,63.5,23.0,alluvial,blackgram,Good NPK
27.25,86.75,51.94,6.63,99.2,11.9,48.4,sandy,watermelon,Urea and MOP
26.1,90.81,150.35,5.08,5.5,4.6,4.8,laterite,coconut,DAP
18.97,68.03,48.5,7.28,23.4,65.0,24.8,alluvial,lentil,DAP and MOP
31.82,88.76,106.21,6.3,20.1,25.0,9.4,coastal,orange,MOP
34.07,94.53,141.53,6.9,48.1,39.6,48.2,alluvial,papaya,Urea and DAP
31.07,55.09,154.27,5.16,15.6,64.2,22.3,laterite,pigeonpeas,Good NPK
29.9,93.12,103.55,6.29,19.8,20.7,12.9,clay loam,orange,Good NPK
23.78,84.39,211.98,6.37,74.3,44.0,41.2,laterite,rice,Urea and DAP
36.35,87.94,20.52,6.06,98.6,8.3,47.8,alluvial,muskmelon,DAP
27.44,49.01,151.24,5.67,17.1,61.2,16.7,clay loam,pigeonpeas,Good NPK
34.47,86.83,23.39,6.75,106.2,13.2,46.5,sandy,muskmelon,Good NPK
24.42,94.62,174.42,5.96,5.9,4.0,4.5,sandy,coconut,DAP
24.23,76.53,173.95,6.06,60.6,52.1,39.9,silty clay,jute,Urea and DAP
34.3,77.59,108.33,6.37,103.1,60.8,47.7,Clayey,banana,Good NPK
25.15,69.21,67.22,6.96,21.2,56.0,19.8,clay loam,blackgram,Good NPK
33.01,91.62,154.57,6.22,50.3,37.3,50.5,sandy,papaya,Urea and DAP
25.24,81.18,110.04,6.0,93.8,69.2,51.8,alluvial,banana,Good NPK
26.76,82.42,93.36,7.39,132.0,58.4,19.5,clay loam,cotton,Urea and MOP
25.83,85.14,58.89,6.71,98.7,9.7,47.7,clay loam,watermelon,DAP
25.74,87.72,112.45,6.13,21.8,18.5,9.7,clay loam,orange,MOP
27.22,58.61,162.15,6.13,96.2,30.8,28.5,clay loam,coffee,Good NPK
21.16,17.01,96.35,6.71,34.1,66.1,76.0,alluvial,chickpea,DAP and MOP
22.45,85.9,219.37,6.09,64.3,36.4,35.1,laterite,rice,Urea and DAP
30.56,50.38,40.42,6.23,19.7,43.8,22.0,sandy,mothbeans,DAP and MOP
27.33,91.38,108.11,6.46,15.0,17.6,12.3,coastal,orange,Good NPK
29.02,54.09,109.23,6.78,24.3,21.0,31.6,alluvial,mango,Urea and DAP
23.47,60.99,150.75,6.14,108.7,25.8,29.5,clay loam,coffee,Good NPK
25.61,52.49,42.28,3.82,19.7,41.5,16.7,sandy,mothbeans,DAP and MOP
26.03,66.57,66.69,6.86,24.2,60.3,24.0,laterite,blackgram,Good NPK
23.02,94.98,101.69,5.53,18.3,67.1,44.3,clay loam,pomegranate,Urea and MOP
19.15,60.96,84.5,7.09,86.4,46.1,48.5,clay loam,maize,Good NPK
31.3,51.05,50.63,5.76,24.3,58.3,21.4,sandy,mothbeans,DAP and MOP
29.92,80.94,92.53,6.8,131.0,55.7,18.6,clay loam,cotton,Urea and MOP
33.2,94.73,154.14,7.0,54.4,54.3,54.7,alluvial,papaya,Urea and DAP
28.13,57.74,154.88,5.18,22.9,60.6,16.4,alluvial,pigeonpeas,Good NPK
30.22,46.02,59.14,4.04,17.7,54.6,18.7,laterite,mothbeans,DAP and MOP
16.0,24.88,127.33,5.86,23.2,70.6,20.4,clay loam,kidneybeans,DAP and MOP
24.57,64.86,160.0,6.23,95.2,31.2,29.1,laterite,coffee,Good NPK
26.64,63.04,68.02,6.43,20.5,61.0,19.6,laterite,blackgram,Good NPK
19.99,75.0,51.39,6.0,17.6,56.9,16.0,alluvial,lentil,DAP and MOP
25.84,91.64,173.87,7.96,5.8,4.5,5.7,sandy,coconut,DAP
24.24,82.29,235.63,6.51,69.0,36.3,44.5,laterite,rice,Urea and DAP
30.28,89.28,114.3,6.96,20.4,19.4,13.1,alluvial,orange,Good NPK
32.86,85.86,27.18,6.84,105.7,8.5,47.1,coastal,muskmelon,DAP
29.99,87.81,51.04,6.29,95.8,9.2,54.2,alluvial,watermelon,DAP
22.18,27.54,125.89,6.58,17.6,68.5,18.0,clay loam,kidneybeans,DAP and MOP
27.4,89.51,45.22,6.6,110.0,11.5,52.1,sandy,watermelon,Urea and MOP
30.31,75.78,112.19,5.74,94.9,61.3,47.8,alluvial,banana,Good NPK
30.32,56.84,148.12,5.59,19.3,69.8,23.6,laterite,pigeonpeas,Good NPK
30.75,48.1,46.24,5.01,16.3,53.4,22.3,alluvial,mothbeans,DAP and MOP
33.83,82.92,108.67,6.28,98.6,70.4,50.6,Clayey,banana,Good NPK
23.03,89.85,193.92,6.36,69.4,47.0,41.1,silty clay,jute,Urea and DAP
25.81,84.39,82.38,7.21,128.5,44.8,20.4,Clayey,cotton,Urea and MOP
20.15,91.39,110.39,6.46,21.2,70.6,40.0,laterite,pomegranate,Urea and MOP
30.93,45.8,150.12,5.91,21.5,71.1,22.2,clay loam,pigeonpeas,Good NPK
18.01,23.57,77.0,6.59,34.8,55.2,72.0,alluvial,chickpea,DAP and MOP
23.97,57.67,84.46,7.42,81.6,51.3,40.1,alluvial,maize,Good NPK
27.19,91.26,151.29,6.64,5.8,5.9,4.6,coastal,coconut,MOP
23.51,90.99,111.04,6.98,20.3,70.3,35.1,alluvial,pomegranate,Urea and MOP
26.91,81.5,214.28,6.39,60.5,38.8,43.1,silty clay,rice,Urea and DAP
33.53,58.93,151.94,6.99,16.2,67.5,17.8,clay loam,pigeonpeas,Good NPK
15.11,88.15,71.23,5.63,19.1,140.6,205.2,laterite,grapes,DAP and MOP
29.35,62.93,66.33,6.32,15.3,67.8,15.8,laterite,blackgram,Good NPK
25.43,91.16,151.55,5.61,5.0,4.8,4.3,sandy,coconut,MOP
22.4,17.06,82.42,7.23,44.4,63.4,78.6,alluvial,chickpea,DAP and MOP
26.06,65.06,74.36,6.72,16.6,69.0,22.6,alluvial,blackgram,Good NPK
26.35,91.34,162.22,7.54,5.3,4.8,5.3,coastal,coconut,DAP
23.85,60.47,94.43,6.62,79.1,50.2,46.4,clay loam,maize,Good NPK
25.14,84.86,109.17,6.05,109.0,55.4,53.2,Clayey,banana,Good NPK
25.93,51.16,44.44,3.99,16.3,50.3,16.9,sandy,mothbeans,DAP and MOP
33.66,75.5,101.78,6.87,107.0,71.8,47.3,clay loam,banana,Good NPK
18.83,21.68,113.07,5.77,23.6,66.5,15.8,alluvial,kidneybeans,DAP and MOP
18.77,94.74,104.76,6.21,18.2,56.9,39.3,laterite,pomegranate,Urea and MOP
19.39,23.81,74.63,7.89,34.5,62.4,71.5,sandy,chickpea,DAP and MOP
26.9,93.39,176.09,6.4,4.1,4.3,5.5,coastal,coconut,Urea
30.71,93.27,109.0,6.54,21.8,24.4,13.3,alluvial,orange,Good NPK
27.83,56.8,147.7,5.79,23.8,62.7,19.9,clay loam,pigeonpeas,Good NPK
27.92,85.58,104.55,6.6,114.0,67.5,47.6,Clayey,banana,Good NPK
27.26,75.38,112.16,6.58,93.5,67.2,46.8,Clayey,banana,Good NPK
23.62,94.99,122.63,5.87,24.2,142.9,209.8,clay loam,apple,DAP and MOP
15.89,22.88,112.23,5.62,22.7,71.9,21.1,clay loam,kidneybeans,DAP and MOP
30.46,93.67,20.44,6.44,110.2,14.1,51.6,coastal,muskmelon,Good NPK
33.15,88.77,58.43,7.16,19.5,69.8,21.9,clay loam,mungbean,Urea and DAP
25.85,53.23,52.14,4.64,24.6,51.3,20.1,laterite,mothbeans,DAP and MOP
25.49,91.78,149.83,5.46,6.0,5.8,4.8,laterite,coconut,MOP
18.59,59.73,103.72,6.58,83.9,48.4,47.2,sandy,maize,Good NPK
22.88,91.88,120.64,5.71,23.5,129.5,206.1,clay loam,apple,DAP and MOP
24.01,90.59,169.67,5.3,5.1,5.0,4.0,sandy,coconut,MOP
22.08,18.62,100.24,5.72,17.9,64.4,23.9,alluvial,kidneybeans,DAP and MOP
34.0,56.88,53.59,5.53,17.9,50.5,22.0,alluvial,mothbeans,DAP and MOP
32.76,83.93,45.21,6.21,17.5,73.8,18.0,alluvial,mungbean,Urea and DAP
19.9,73.19,51.56,6.23,21.1,63.1,21.8,sandy,lentil,DAP and MOP
27.72,82.32,56.36,6.0,99.5,12.5,52.6,sandy,watermelon,Urea and MOP
27.04,87.69,56.31,6.64,24.8,59.2,16.3,alluvial,mungbean,Urea and DAP
28.71,58.81,148.07,6.17,22.4,65.4,15.7,alluvial,pigeonpeas,Good NPK
25.56,53.53,143.16,6.3,22.0,67.2,17.0,laterite,pigeonpeas,Good NPK
32.25,46.67,144.22,6.22,19.5,59.7,15.5,laterite,pigeonpeas,Good NPK
21.38,25.41,124.87,6.29,16.2,58.1,16.7,clay loam,kidneybeans,DAP and MOP
24.34,63.97,82.28,6.42,76.9,48.5,44.1,alluvial,maize,Good NPK
24.46,84.72,182.34,6.23,61.8,48.8,43.9,silty clay,jute,Urea and DAP
19.5,17.5,67.73,6.24,42.6,65.7,74.5,sandy,chickpea,DAP and MOP
21.5,90.17,123.55,6.08,18.8,139.7,200.3,alluvial,apple,DAP and MOP
28.84,87.16,102.82,6.63,21.8,18.5,10.5,alluvial,orange,Good NPK
23.94,83.48,93.97,7.19,115.9,48.5,23.6,clay loam,cotton,Urea and MOP
26.01,84.29,247.91,6.63,75.5,38.4,44.3,Clayey,rice,Urea and DAP
24.51,94.56,154.0,7.55,5.1,5.3,4.6,coastal,coconut,MOP
10.81,86.38,65.33,5.51,21.0,137.2,195.3,clay loam,grapes,DAP and MOP
18.79,73.81,52.07,6.16,19.2,66.2,15.1,alluvial,lentil,DAP and MOP
29.3,85.77,57.31,6.35,108.4,8.5,51.6,clay loam,watermelon,DAP
11.03,85.68,74.32,6.75,21.0,124.4,199.6,laterite,grapes,DAP and MOP
11.61,89.49,67.85,6.67,24.2,133.7,203.7,alluvial,grapes,DAP and MOP
32.51,67.46,73.78,5.72,19.4,65.5,17.0,alluvial,blackgram,Good NPK
19.05,94.94,110.31,6.34,20.9,56.8,39.3,clay loam,pomegranate,Urea and MOP
22.9,18.87,81.12,6.16,47.6,72.4,77.1,alluvial,chickpea,DAP and MOP
24.12,92.49,161.35,6.3,4.2,5.3,4.6,coastal,coconut,Urea
21.42,60.98,96.01,6.66,79.6,45.3,43.4,clay loam,maize,Good NPK
27.97,69.3,54.07,6.64,15.6,66.0,23.4,sandy,lentil,DAP and MOP
8.3,84.7,66.16,6.93,18.3,122.7,197.2,clay loam,grapes,DAP and MOP
29.96,82.32,51.9,6.62,111.9,12.8,51.8,sandy,watermelon,Urea and MOP
25.89,80.9,190.36,6.22,83.1,40.8,39.8,Clayey,jute,Urea and DAP
26.54,56.36,159.72,6.41,111.1,34.8,33.0,laterite,coffee,Good NPK
27.78,60.8,151.75,6.34,107.0,26.9,32.8,alluvial,coffee,Good NPK
21.67,19.63,123.15,6.35,22.2,59.9,21.4,clay loam,kidneybeans,DAP and MOP
26.49,82.76,184.89,6.14,74.9,50.8,39.5,silty clay,jute,Urea and DAP
32.8,45.24,40.8,5.96,21.9,56.5,20.6,sandy,mothbeans,DAP and MOP
19.63,27.81,125.91,6.23,23.8,73.9,16.5,sandy,kidneybeans,DAP and MOP
26.54,88.83,110.98,6.64,94.0,73.1,50.2,Clayey,banana,Good NPK
15.21,20.69,108.07,6.28,18.8,63.3,22.5,clay loam,kidneybeans,DAP and MOP
24.83,95.67,178.79,5.06,4.5,5.5,4.5,coastal,coconut,Urea
35.77,93.33,150.31,6.93,50.1,35.6,51.5,sandy,papaya,Urea and DAP
36.27,93.28,141.49,6.59,52.2,47.2,47.9,Clayey,papaya,Urea and DAP
30.46,82.04,59.97,6.44,21.3,58.7,22.5,alluvial,mungbean,Urea and DAP
29.58,51.59,92.25,7.33,16.2,22.6,34.3,laterite,mango,Urea and DAP
20.03,92.37,113.03,6.42,19.4,55.9,40.4,alluvial,pomegranate,Urea and MOP
25.01,89.72,59.72,6.62,106.8,13.8,47.4,sandy,watermelon,Urea and MOP
18.77,23.52,101.38,6.71,21.0,71.7,22.8,clay loam,kidneybeans,DAP and MOP
19.41,58.52,87.66,7.43,73.2,46.9,47.3,sandy,maize,Good NPK
21.87,93.14,119.18,6.35,15.5,125.3,196.1,alluvial,apple,DAP and MOP
30.03,62.58,65.14,6.55,19.0,74.7,20.4,laterite,blackgram,Good NPK
15.07,14.92,70.25,6.45,48.1,73.2,76.7,sandy,chickpea,DAP and MOP
14.29,89.22,74.02,6.06,20.1,143.9,202.2,clay loam,grapes,DAP and MOP
15.13,83.07,74.33,5.55,21.8,126.6,205.3,laterite,grapes,DAP and MOP
33.01,84.07,107.42,5.8,114.7,62.8,45.5,clay loam,banana,Good NPK
27.14,82.16,92.54,7.78,118.0,55.7,18.3,Clayey,cotton,Urea and MOP
22.36,86.56,241.35,6.08,67.5,35.4,41.2,silty clay,rice,Urea and DAP
21.56,92.69,101.09,5.51,18.8,70.1,38.1,laterite,pomegranate,Urea and MOP
33.3,86.55,58.27,6.62,22.0,58.9,19.5,sandy,mungbean,Urea and DAP
30.24,87.09,109.63,6.03,100.2,71.5,47.3,clay loam,banana,Good NPK
26.49,86.54,198.89,6.82,84.0,41.0,39.3,Clayey,jute,Urea and DAP
28.92,89.48,60.27,6.21,18.5,55.9,16.8,alluvial,mungbean,Urea and DAP
18.2,59.03,99.0,6.58,87.9,53.0,44.3,clay loam,maize,Good NPK
17.54,14.5,69.25,7.48,44.8,71.1,77.7,clay loam,chickpea,DAP and MOP
22.31,21.44,87.49,6.12,49.9,68.2,73.4,sandy,chickpea,DAP and MOP
22.87,19.05,82.5,7.38,45.7,72.8,79.3,sandy,chickpea,DAP and MOP
22.32,90.3,118.48,6.62,20.8,141.4,209.6,laterite,apple,DAP and MOP
20.59,87.01,253.97,5.61,75.2,41.2,36.0,silty clay,rice,Urea and DAP
18.13,25.89,113.01,6.84,18.6,60.4,23.4,alluvial,kidneybeans,DAP and MOP
36.65,91.38,145.76,6.71,49.8,41.2,47.9,Clayey,papaya,Urea and DAP
27.93,58.02,148.31,6.02,108.0,34.7,30.1,laterite,coffee,Good NPK
34.61,69.03,65.97,6.55,16.0,55.3,21.2,alluvial,blackgram,Good NPK
20.3,20.42,120.39,6.25,19.5,57.7,24.6,alluvial,kidneybeans,DAP and MOP
31.84,52.92,91.98,6.09,21.6,19.2,34.7,alluvial,mango,Urea and DAP
27.53,50.05,93.3,5.56,18.9,20.0,29.6,laterite,mango,Urea and DAP
27.63,95.75,179.65,5.08,4.1,4.6,5.4,sandy,coconut,Urea
34.81,90.85,145.91,6.87,51.9,53.2,50.0,sandy,papaya,Urea and DAP
22.45,90.45,113.59,5.69,22.9,130.4,196.4,clay loam,apple,DAP and MOP
20.18,16.4,85.49,7.47,42.7,67.3,66.0,sandy,chickpea,DAP and MOP
23.77,93.0,101.64,6.71,19.0,68.6,39.2,alluvial,pomegranate,Urea and MOP
24.72,19.3,72.84,6.96,30.9,57.8,69.2,clay loam,chickpea,DAP and MOP
33.84,91.71,20.91,6.99,109.5,15.2,53.0,alluvial,muskmelon,Good NPK
23.34,91.45,120.01,5.92,15.7,136.8,210.0,clay loam,apple,DAP and MOP
34.46,85.35,26.42,6.89,97.3,15.7,48.7,sandy,muskmelon,Good NPK
31.92,87.79,26.83,6.93,97.9,12.5,48.2,sandy,muskmelon,Good NPK
32.91,48.74,91.18,6.63,21.2,16.0,34.5,laterite,mango,Urea and DAP
30.21,48.92,107.56,6.65,17.4,20.6,25.2,laterite,mango,Urea and DAP
25.56,78.76,81.16,7.01,130.1,53.9,19.9,Clayey,cotton,Urea and MOP
25.29,92.11,179.51,5.19,4.4,5.1,4.6,coastal,coconut,Urea
23.01,90.22,113.35,5.85,16.3,62.1,40.9,laterite,pomegranate,Urea and MOP
23.25,86.5,265.42,5.57,75.3,43.1,38.5,silty clay,rice,Urea and DAP
32.72,91.98,22.02,6.43,102.1,11.9,51.0,alluvial,muskmelon,Good NPK
23.77,57.43,148.02,6.49,102.5,32.4,29.9,clay loam,coffee,Good NPK
36.53,91.92,148.66,6.25,48.3,37.8,48.7,Clayey,papaya,Urea and DAP
27.71,47.91,40.15,4.92,23.5,59.0,23.8,laterite,mothbeans,DAP and MOP
21.64,59.91,104.24,6.84,81.3,52.4,48.8,alluvial,maize,Good NPK
34.68,52.03,100.42,5.77,17.4,21.3,28.0,alluvial,mango,Urea and DAP
33.52,88.57,29.64,6.97,96.6,10.4,47.2,alluvial,muskmelon,Good NPK
29.11,46.95,145.41,5.04,25.0,59.8,15.4,clay loam,pigeonpeas,Good NPK
33.78,89.53,53.91,7.13,24.8,67.1,20.0,sandy,mungbean,Urea and DAP
24.49,60.77,154.83,6.27,112.7,27.7,27.4,alluvial,coffee,Good NPK
16.68,82.17,68.7,6.57,20.7,140.6,203.4,clay loam,grapes,DAP and MOP
24.86,91.12,171.17,6.36,4.4,5.6,5.9,laterite,coconut,Urea
24.88,78.75,94.26,7.76,119.9,55.0,15.2,alluvial,cotton,Urea and MOP
33.04,56.59,141.0,6.1,21.6,64.7,15.1,alluvial,pigeonpeas,Good NPK
24.1,87.26,214.01,6.64,70.7,42.5,44.1,Clayey,rice,Urea and DAP
21.08,90.07,113.77,5.69,16.8,131.8,204.7,clay loam,apple,DAP and MOP
21.05,92.64,111.03,6.72,21.3,64.0,36.9,clay loam,pomegranate,Urea and MOP
26.5,63.28,162.65,6.4,95.9,34.0,30.4,laterite,coffee,Good NPK
21.52,26.97,99.38,7.23,32.5,72.3,68.7,alluvial,chickpea,DAP and MOP
23.07,81.74,87.66,6.85,118.5,55.5,20.1,clay loam,cotton,Urea and MOP
23.73,89.61,161.77,6.51,71.0,52.0,35.9,Clayey,jute,Urea and DAP
26.15,54.97,98.71,6.35,20.2,18.8,30.6,laterite,mango,Urea and DAP
33.69,83.52,101.01,6.16,105.1,68.8,48.8,clay loam,banana,Good NPK
33.85,92.9,150.93,6.48,52.3,48.5,48.4,sandy,papaya,Urea and DAP
21.83,90.52,115.21,5.61,18.8,120.0,201.7,clay loam,apple,DAP and MOP
21.16,16.51,69.43,6.09,39.7,73.4,72.8,alluvial,chickpea,DAP and MOP
21.43,87.14,247.92,6.24,74.1,42.8,36.4,silty clay,rice,Urea and DAP
25.67,54.72,145.63,5.15,18.9,65.8,24.7,alluvial,pigeonpeas,Good NPK
26.2,53.77,47.56,6.41,19.1,58.7,17.5,alluvial,mothbeans,DAP and MOP
33.46,81.83,52.53,7.43,18.7,70.0,24.0,sandy,mungbean,Urea and DAP
23.85,76.21,196.74,6.98,65.1,54.2,35.8,alluvial,jute,Urea and DAP
18.66,93.61,112.75,5.73,23.1,71.2,36.9,clay loam,pomegranate,Urea and MOP
15.91,88.13,68.39,6.5,22.2,135.4,195.7,laterite,grapes,DAP and MOP
33.98,46.26,42.0,4.68,16.7,48.4,22.6,sandy,mothbeans,DAP and MOP
26.19,75.52,160.92,6.7,78.1,46.7,35.6,Clayey,jute,Urea and DAP
21.45,62.78,84.99,5.59,73.5,54.1,44.2,clay loam,maize,Good NPK
26.37,93.24,162.97,6.48,5.4,5.1,4.4,coastal,coconut,MOP
18.8,56.55,100.65,6.67,82.8,47.2,41.8,sandy,maize,Good NPK
19.07,28.26,66.59,6.01,39.5,74.7,69.0,alluvial,chickpea,DAP and MOP
26.34,79.66,110.36,6.42,104.0,64.5,52.9,Clayey,banana,Good NPK
25.7,86.85,261.98,5.74,74.0,40.4,38.1,Clayey,rice,Urea and DAP
25.4,91.64,177.67,6.73,4.2,4.8,5.3,laterite,coconut,Urea
26.37,85.8,168.02,6.83,72.2,40.6,41.6,alluvial,jute,Urea and DAP
26.58,50.94,94.1,6.69,15.4,21.2,33.3,sandy,mango,Urea and DAP
28.85,87.2,27.16,6.01,113.3,13.7,52.2,alluvial,muskmelon,Good NPK
22.88,90.15,123.87,6.95,19.3,133.2,200.4,laterite,apple,DAP and MOP
34.04,89.53,111.85,6.99,106.2,59.2,46.5,Clayey,banana,Good NPK
33.57,55.1,153.28,5.82,24.5,70.5,21.1,clay loam,pigeonpeas,Good NPK
34.75,64.11,70.77,6.17,18.2,58.8,18.1,laterite,blackgram,Good NPK
31.45,85.06,100.37,6.7,24.2,18.4,15.3,clay loam,orange,Good NPK
20.73,28.92,84.17,7.15,33.1,59.5,79.4,sandy,chickpea,DAP and MOP
26.89,85.63,54.59,6.59,101.4,9.8,53.8,sandy,watermelon,DAP
28.87,84.71,100.81,5.57,103.4,65.9,51.5,Clayey,banana,Good NPK
21.31,92.07,120.83,6.78,25.0,138.3,198.4,clay loam,apple,DAP and MOP
20.36,15.55,95.25,6.9,33.5,68.8,68.0,sandy,chickpea,DAP and MOP
27.54,59.41,163.61,6.37,105.6,33.9,28.8,laterite,coffee,Good NPK
25.45,50.25,145.69,6.86,22.1,62.5,18.7,laterite,pigeonpeas,Good NPK
24.18,91.03,105.7,6.84,23.6,16.6,11.9,clay loam,orange,Good NPK
23.41,93.56,115.05,6.05,19.0,137.7,202.6,laterite,apple,DAP and MOP
26.74,90.16,156.83,7.7,4.4,5.3,5.4,sandy,coconut,Urea
36.58,92.91,140.32,6.96,52.5,41.5,51.7,alluvial,papaya,Urea and DAP
26.24,83.33,54.11,6.18,113.9,11.2,47.2,clay loam,watermelon,Urea and MOP
32.62,52.61,59.7,5.41,16.2,43.4,18.5,alluvial,mothbeans,DAP and MOP
33.96,92.87,152.31,6.33,47.8,40.0,47.3,Clayey,papaya,Urea and DAP
21.8,17.69,72.61,6.91,42.8,60.4,73.9,alluvial,chickpea,DAP and MOP
23.22,92.56,107.46,6.1,18.3,71.4,35.4,alluvial,pomegranate,Urea and MOP
20.37,27.67,98.33,6.1,38.9,64.5,73.9,sandy,chickpea,DAP and MOP
33.04,94.94,145.48,6.66,50.5,44.6,45.5,sandy,papaya,Urea and DAP
24.74,65.65,47.4,6.93,20.4,64.2,24.5,alluvial,lentil,DAP and MOP
21.93,90.98,116.8,6.32,24.1,144.2,207.7,laterite,apple,DAP and MOP
23.29,90.1,107.11,6.63,22.6,57.7,37.3,clay loam,pomegranate,Urea and MOP
22.65,16.8,80.95,7.01,48.5,64.7,74.1,sandy,chickpea,DAP and MOP
32.34,49.11,100.18,6.21,17.0,24.6,30.1,alluvial,mango,Urea and DAP
21.67,14.17,75.43,6.51,45.6,59.6,79.6,sandy,chickpea,DAP and MOP
20.36,91.71,104.12,6.75,21.3,62.0,37.9,alluvial,pomegranate,Urea and MOP
29.09,89.93,59.05,6.68,99.3,8.6,53.9,clay loam,watermelon,DAP
